page,text,identifier_range_y0,identifier_range_y1
5,164275,657.2404,668.8804
5,164333,668.8804,680.5204
5,159162,680.5204,692.1604
5,159169,692.1604,703.7964
5,168062,703.7964,715.4364
5,168883,715.4364,727.0764
5,169080,727.0764,738.7164
5,168922,738.7164,750.3564
5,168445,750.3564,761.9964
6,Ref,761.9964,69.64999999999998
6,168898,69.64999999999998,86.92039999999997
6,159238,86.92039999999997,98.56039999999996
6,169225,98.56039999999996,110.20039999999995
6,170051,110.20039999999995,121.84039999999993
6,170746,121.84039999999993,133.48039999999992
6,171148,133.48039999999992,145.1203999999999
6,172838,145.1203999999999,156.7604
6,173681,156.7604,168.4004
6,173682,168.4004,180.04039999999998
6,174883,180.04039999999998,191.68039999999996
6,120744,191.68039999999996,203.32039999999995
6,173181,203.32039999999995,214.96039999999994
6,133475,214.96039999999994,226.60039999999992
6,174180,226.60039999999992,238.2403999999999
6,173187,238.2403999999999,249.91039999999998
6,173881,249.91039999999998,261.55039999999997
6,173512,261.55039999999997,273.19039999999995
6,171479,273.19039999999995,284.8304
6,174306,284.8304,296.4704
6,175644,296.4704,308.1104
6,138637,308.1104,319.7504
6,168727,319.7504,331.3904
6,138671,331.3904,343.0304
6,167466,343.0304,354.67040000000003
6,158713,354.67040000000003,366.3104
6,174977,366.3104,377.9504
6,174149,377.9504,389.5904
6,146116,389.5904,401.23040000000003
6,146174,401.23040000000003,412.8704
6,149346,412.8704,424.5304
6,167055,424.5304,436.17040000000003
6,158548,436.17040000000003,447.8104
6,174102,447.8104,459.4504
6,149483,459.4504,471.0904
6,149594,471.0904,482.73040000000003
6,158703,482.73040000000003,494.3704
6,149624,494.3704,506.0104
6,149654,506.0104,517.6504
6,159445,517.6504,529.2904000000001
6,158607,529.2904000000001,540.9304
6,152911,540.9304,552.5704000000001
6,152974,552.5704000000001,564.2104
6,158536,564.2104,575.8504
6,175916,575.8504,587.4904
6,175343,587.4904,599.1304
6,158550,599.1304,610.8004000000001
6,159323,610.8004000000001,622.4404
6,172902,622.4404,634.0804
6,168970,634.0804,645.7204
6,159437,645.7204,657.3604
6,176096,657.3604,669.0004
6,175047,669.0004,680.6404
6,163773,680.6404,692.2804
6,159475,692.2804,703.9164
6,165113,703.9164,715.5563999999999
6,164913,715.5563999999999,732.9564
6,165051,732.9564,750.3564
6,166067,750.3564,761.9964
7,Ref,761.9964,69.64999999999998
7,166365,69.64999999999998,86.92039999999997
7,167623,86.92039999999997,98.56039999999996
7,168220,98.56039999999996,110.20039999999995
7,168695,110.20039999999995,121.84039999999993
7,169174,121.84039999999993,133.48039999999992
7,175798,133.48039999999992,145.1203999999999
7,169482,145.1203999999999,156.7604
7,169666,156.7604,168.4004
7,169589,168.4004,180.04039999999998
7,169403,180.04039999999998,191.68039999999996
7,169594,191.68039999999996,203.32039999999995
7,169712,203.32039999999995,214.96039999999994
7,169846,214.96039999999994,226.60039999999992
7,169634,226.60039999999992,238.2403999999999
7,169668,238.2403999999999,249.91039999999998
7,170817,249.91039999999998,261.55039999999997
7,172125,261.55039999999997,273.19039999999995
7,173008,273.19039999999995,284.8304
7,172813,284.8304,296.4704
7,172841,296.4704,308.1104
7,173381,308.1104,319.7504
7,173789,319.7504,331.3904
7,173823,331.3904,343.0304
