"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",make,vrm,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,page
137403,"PRIVATE
HIRE",04/12/2023,03/06/2024,3258,RENAULT MEGANE,WN63 TGE,DIESEL,31/10/2013,4,NO,NO,,16
138896,"PRIVATE
HIRE",28/11/2023,27/05/2024,3279,TOYOTA PRIUS,TIG 5786,HYBRID,30/09/2016,4,NO,NO,,16
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,17
139161,"PRIVATE
HIRE",30/01/2024,30/07/2024,3289,RENAULT MEGANE,BN14 HCV,DIESEL,24/04/2014,4,NO,NO,,17
139865,"PRIVATE
HIRE",16/04/2024,15/10/2024,3291,SKODA OCTAVIA,GD66 KYJ,DIESEL,20/12/2016,4,NO,NO,,17
139304,"PRIVATE
HIRE",23/11/2023,22/05/2024,3295,RENAULT MEGANE,BV14 NHG,DIESEL,21/03/2014,4,NO,NO,,17
139522,"PRIVATE
HIRE",01/02/2024,31/07/2024,3299,SKODA RAPID,MW67 BAA,DIESEL,21/11/2017,4,NO,NO,,17
142533,"PRIVATE
HIRE",01/06/2023,10/06/2024,3305,SKODA OCTAVIA,YM14 FEG,DIESEL,30/07/2014,4,NO,NO,,17
140765,"PRIVATE
HIRE",22/12/2023,26/06/2024,3315,TOYOTA AURIS,FE64 TXR,DIESEL,31/10/2014,4,NO,NO,,17
141159,"PRIVATE
HIRE",19/01/2024,18/07/2024,3333,RENAULT MEGANE,BF16 ZVP,DIESEL,11/03/2016,4,NO,NO,,17
141188,"PRIVATE
HIRE",04/01/2024,03/07/2024,3336,DACIA LOGAN,WF65 JCO,DIESEL,28/10/2015,4,NO,NO,,17
141117,"PRIVATE
HIRE",20/03/2024,14/10/2024,3339,TOYOTA AURIS,MD66 XAC,HYBRID,01/02/2017,4,NO,NO,,17
141141,"PRIVATE
HIRE",06/03/2024,18/09/2024,3342,"SKODA OCTAVIA SE
BUSINESS",WP64 NBN,DIESEL,02/02/2015,4,NO,NO,,17
141258,"PRIVATE
HIRE",14/11/2023,13/05/2024,3345,RENAULT MEGANE,DU14 VJD,DIESEL,19/03/2014,4,NO,NO,,17
141217,"PRIVATE
HIRE",06/11/2023,05/05/2024,3346,VW GOLF,NG64 FNR,DIESEL,19/01/2015,4,NO,NO,,17
141253,"PRIVATE
HIRE",21/12/2023,20/06/2024,3347,HYUNDAI,ET65 VDM,DIESEL,29/01/2016,4,NO,NO,,17
142999,"PRIVATE
HIRE",11/12/2023,21/06/2024,3358,SKODA OCTAVIA,NL67 GUD,DIESEL,06/11/2017,4,NO,NO,,17
143024,"PRIVATE
HIRE",22/01/2024,21/07/2024,3361,PEUGEOT 308,AK64 NXU,DIESEL,05/01/2015,4,NO,NO,,17
146195,"PRIVATE
HIRE",24/01/2024,27/07/2024,3405,"RENAULT MEGANE
EXPR-N",MV15 OYM,DIESEL,13/03/2015,4,NO,NO,,17
146193,"PRIVATE
HIRE",20/12/2023,19/06/2024,3406,RENAULT MEGANE,DS15 WTK,DIESEL,28/05/2015,4,NO,NO,,17
146176,"PRIVATE
HIRE",02/01/2024,01/07/2024,3408,TOYOTA AURIS,MT68 DKA,HYBRID,29/11/2018,4,NO,NO,,17
146454,"PRIVATE
HIRE",03/01/2024,05/07/2024,3409,"FORD FOCUS STYLE
TDCI",MM15 YPT,DIESEL,03/07/2015,4,NO,NO,,17
153685,"PRIVATE
HIRE",15/01/2024,07/08/2024,3420,BMW 530E,HGZ 5720,HYBRID,03/10/2017,4,NO,NO,,17
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,18
153092,"PRIVATE
HIRE",08/01/2024,07/07/2024,4000,PEUGEOT 308,SB66 UOS,DIESEL,12/12/2016,4,NO,NO,,18
153098,"PRIVATE
HIRE",04/01/2024,23/07/2024,4001,SKODA OCTAVIA,DF15 KLA,DIESEL,30/06/2015,4,NO,NO,,18
153101,"PRIVATE
HIRE",26/01/2024,25/07/2024,4002,"RENAULT MEGANE
EXPRESSION PLUS",BU16 EXH,DIESEL,10/03/2016,4,NO,NO,,18
153151,"PRIVATE
HIRE",05/04/2024,10/10/2024,4007,TOYOTA AURIS,PE67 XMO,HYBRID,30/09/2017,4,NO,NO,,18
153189,"PRIVATE
HIRE",05/01/2024,04/07/2024,4009,TOYOTA PRIUS,MX16 NUU,HYBRID,01/07/2016,4,NO,NO,,18
153229,"PRIVATE
HIRE",06/12/2023,07/06/2024,4013,TOYOTA AURIS ICON,FL17 FPN,HYBRID,03/05/2017,4,NO,NO,,18
153396,"PRIVATE
HIRE",15/02/2024,14/08/2024,4020,"SKODA SUPERB
LAURIN",ML69 DNV,DIESEL,09/12/2019,4,NO,NO,,18
153415,"PRIVATE
HIRE",28/02/2024,29/08/2024,4023,HYUNDAI I30 PREMIUM,RK16 NXX,DIESEL,24/05/2016,4,NO,NO,,18
153422,"PRIVATE
HIRE",14/12/2023,08/07/2024,4024,TOYOTA AURIS,FL17 UZY,HYBRID,22/03/2017,4,NO,NO,,18
153663,"PRIVATE
HIRE",30/01/2024,29/07/2024,4027,"SKODA OCTAVIA SE
TDI",GN16 NKH,DIESEL,01/03/2016,4,NO,NO,,18
154596,"PRIVATE
HIRE",14/02/2024,15/08/2024,4028,TELSA S85,S4 OET,ELECTRIC,26/09/2017,4,NO,NO,YES,18
153784,"PRIVATE
HIRE",18/03/2024,17/09/2024,4034,HYUNDAI I30 SE BLUE,EA16 ZTW,DIESEL,12/04/2016,4,NO,NO,,18
153844,"PRIVATE
HIRE",12/01/2024,12/08/2024,4035,"TOYOTA COROLLA
ICON HEV",MT69 ZLN,HYBRID,23/01/2020,4,NO,NO,,18
153866,"PRIVATE
HIRE",24/01/2024,04/08/2024,4036,TOYOTA AURIS,WO18 ONX,HYBRID,25/06/2018,4,NO,NO,,18
153792,"PRIVATE
HIRE",06/03/2024,27/11/2024,4037,"VW PASSAT SE
BUSINESS",GF68 RSO,DIESEL,17/12/2018,4,NO,NO,,18
153916,"PRIVATE
HIRE",30/01/2024,06/08/2024,4042,SKODA OCTAVIA,GF19 XGC,DIESEL,20/03/2019,4,NO,NO,,18
153991,"PRIVATE
HIRE",12/02/2024,11/08/2024,4044,FORD FOCUS STYLE,DK66 VVX,DIESEL,30/01/2017,4,NO,NO,,18
153952,"PRIVATE
HIRE",05/02/2024,04/08/2024,4046,"TOYOTA COROLLA
ICON TECH",ML69 UYY,HYBRID,28/01/2020,4,NO,NO,,18
154053,"PRIVATE
HIRE",18/01/2024,16/08/2024,4049,"SEAT ALHAMBRA
ECOMOTIVE",BG66 GWD,DIESEL,30/11/2016,6,NO,NO,,18
133529,"PRIVATE
HIRE",23/11/2023,22/05/2024,4057,VW PASSAT,ML13 WXV,DIESEL,12/06/2013,4,NO,NO,,18
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,19
154199,"PRIVATE
HIRE",07/11/2023,06/05/2024,4062,SKODA OCTAVIA SE,OU66 MXK,DIESEL,30/09/2016,4,NO,NO,,19
154307,"PRIVATE
HIRE",20/02/2024,27/08/2024,4066,HYUNDAI IONIQ,EJ18 ZKF,HYBRID,15/05/2018,4,NO,NO,,19
154329,"PRIVATE
HIRE",14/02/2024,29/08/2024,4070,SEAT TOLEDO SE TDI,FD17 ZHP,DIESEL,31/05/2017,4,NO,NO,,19
154553,"PRIVATE
HIRE",20/03/2024,26/09/2024,4077,TOYOTA AURIS B-ED,MF67 XLS,HYBRID,30/09/2017,4,NO,NO,,19
154582,"PRIVATE
HIRE",25/01/2024,24/07/2024,4083,RENAULT MEGANE,BU16 FAJ,DIESEL,14/03/2016,4,NO,NO,,19
155799,"PRIVATE
HIRE",26/02/2024,25/08/2024,4088,"FORD TOURNEO
CUSTOM 320",YB20 CRJ,PETROL,23/07/2020,8,NO,NO,,19
155811,"PRIVATE
HIRE",10/04/2024,23/10/2024,4091,"SKODA OCTAVIA SE
TECHNOLOGY",GM19 MMK,DIESEL,06/06/2019,4,NO,NO,,19
155817,"PRIVATE
HIRE",21/02/2024,20/08/2024,4092,SKODA OCTAVIA,FV66 ZKD,DIESEL,24/01/2017,4,NO,NO,,19
155954,"PRIVATE
HIRE",23/02/2024,06/09/2024,4094,BMW 218D LUXURY,BK66 AVB,DIESEL,20/09/2016,6,NO,NO,,19
156098,"PRIVATE
HIRE",18/03/2024,26/09/2024,4095,MERCEDES BENZ,KP16 YKY,DIESEL,11/04/2016,4,NO,NO,YES,19
156176,"PRIVATE
HIRE",01/03/2024,17/09/2024,4097,"TOYOTA AURIS
DESIGN HEV",GU12 ADA,HYBRID,24/09/2018,4,NO,NO,,19
156180,"PRIVATE
HIRE",21/03/2024,01/10/2024,4098,"TOYOTA PRIUS PLUS
ICON",MK70 MZO,DIESEL,08/09/2020,6,NO,NO,,19
156196,"PRIVATE
HIRE",08/04/2024,13/10/2024,4100,"RENAULT MEGANE
EXPRESSION",MF18 EHH,DIESEL,12/03/2018,4,NO,NO,,19
156199,"PRIVATE
HIRE",26/02/2024,23/09/2024,4102,"HYUNDAI IONIQ
PREMIUM HEV",EA67 TWF,HYBRID,25/10/2017,4,NO,NO,,19
156226,"PRIVATE
HIRE",06/11/2023,05/05/2024,4104,KIA,KY20 JVU,HYBRID,20/03/2020,4,NO,NO,,19
156212,"PRIVATE
HIRE",31/10/2023,30/04/2024,4106,SKODA RAPID S,SB17 WXD,DIESEL,17/07/2017,4,NO,NO,,19
156324,"PRIVATE
HIRE",26/03/2024,08/10/2024,4112,KIA CEED 2 ISG,RO67 ZVS,DIESEL,15/01/2018,4,NO,NO,,19
156353,"PRIVATE
HIRE",10/04/2024,23/10/2024,4115,"RENAULT TRAFIC SL27
SPORT",YA16 BTE,DIESEL,27/05/2016,8,NO,NO,,19
156433,"PRIVATE
HIRE",21/11/2023,20/05/2024,4118,PEUGEOT 308,LO18 XWC,DIESEL,26/07/2018,4,NO,NO,,19
156482,"PRIVATE
HIRE",13/03/2024,28/09/2024,4121,"TOYOTA AURIS B-ED
TSS",BL17 HDK,HYBRID,09/06/2017,4,NO,NO,,19
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,20
156664,"PRIVATE
HIRE",19/10/2023,10/05/2024,4128,"HYUNDAI IONIQ
PREMIUM",EN18 KYT,HYBRID,19/06/2018,4,NO,NO,,20
156668,"PRIVATE
HIRE",20/11/2023,19/05/2024,4129,TOYOTA PRIUS ACTIVE,MA66 RPV,HYBRID,19/10/2016,4,NO,NO,,20
156669,"PRIVATE
HIRE",01/12/2023,31/05/2024,4130,TOYOTA PRIUS,NK17 ZYS,HYBRID,21/03/2017,4,NO,NO,,20
156717,"PRIVATE
HIRE",10/11/2023,01/06/2024,4131,SKODA OCTAVIA,GD19 XJV,DIESEL,01/06/2019,4,NO,NO,,20
156794,"PRIVATE
HIRE",20/02/2024,25/08/2024,4132,TOYOTA PRIUS,YC17 MVS,HYBRID,21/04/2017,4,NO,NO,,20
156828,"PRIVATE
HIRE",23/11/2023,21/06/2024,4135,SKODA SUPERB,DN67 OEP,DIESEL,24/10/2017,4,NO,NO,,20
156942,"PRIVATE
HIRE",12/01/2024,11/07/2024,4141,KIA NIRO,VU67 BBF,HYBRID,02/09/2017,4,NO,NO,,20
156943,"PRIVATE
HIRE",04/12/2023,27/06/2024,4144,SKODA OCTAVIA,AJ17 UOL,DIESEL,17/07/2017,4,NO,NO,,20
156994,"PRIVATE
HIRE",16/01/2024,14/07/2024,4145,TOYOTA,MJ19 VVS,DIESEL,29/03/2019,7,NO,NO,YES,20
157070,"PRIVATE
HIRE",03/01/2024,03/07/2024,4146,"TOYOTA AURIS B-ED
TSS",BF67 UET,HYBRID,29/09/2017,4,NO,NO,,20
157031,"PRIVATE
HIRE",21/03/2024,02/10/2024,4147,TOYOTA AURIS,MF17 AYL,HYBRID,17/03/2017,4,NO,NO,,20
157087,"PRIVATE
HIRE",22/12/2023,05/07/2024,4149,BMW 320D,MT67 FYJ,DIESEL,22/11/2017,4,NO,NO,,20
157167,"PRIVATE
HIRE",15/01/2024,18/07/2024,4151,"HYUNDAI IONIQ SE
HEV",AK68 DJJ,HYBRID,01/11/2018,4,NO,NO,,20
157187,"PRIVATE
HIRE",22/01/2024,21/07/2024,4152,TOYOTA COROLLA,MT69 ZKY,HYBRID,22/01/2020,4,NO,NO,,20
157219,"PRIVATE
HIRE",29/01/2024,28/07/2024,4155,HYUNDAI IONIQ,EN18 KDX,HYBRID,15/06/2018,4,NO,NO,,20
157303,"PRIVATE
HIRE",28/03/2024,27/09/2024,4158,DACIA LOGAN,LY66 FFV,DIESEL,26/01/2017,4,NO,NO,,20
157346,"PRIVATE
HIRE",15/02/2024,16/08/2024,4159,SKODA OCTAVIA SE,HY67 HKP,DIESEL,17/11/2017,4,NO,NO,,20
157383,"PRIVATE
HIRE",16/02/2024,15/08/2024,4160,HYUNDAI IONIQ,AK68 DJV,HYBRID,31/10/2018,4,NO,NO,,20
157469,"PRIVATE
HIRE",26/02/2024,25/08/2024,4162,SKODA OCTAVIA,BD67 CEA,DIESEL,08/11/2017,4,NO,NO,,20
157583,"PRIVATE
HIRE",06/02/2024,05/08/2024,4163,"TOYOTA AURIS B-ED
TSS",LP17 PFY,HYBRID,27/07/2017,4,NO,NO,,20
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,21
157475,"PRIVATE
HIRE",26/01/2024,01/08/2024,4164,TOYOTA AURIS,ML67 MWX,HYBRID,07/12/2017,4,NO,NO,,21
157621,"PRIVATE
HIRE",11/03/2024,10/09/2024,4165,TOYOTA PRIUS ACTIVE,SG67 GXO,HYBRID,27/09/2017,4,NO,NO,,21
157698,"PRIVATE
HIRE",18/03/2024,17/09/2024,4166,"HYUNDAI IONIQ SE
HEV",AK68 CHY,HYBRID,31/10/2018,4,NO,NO,,21
157718,"PRIVATE
HIRE",11/03/2024,12/09/2024,4167,"HYUNDAI IONIQ SE
HEV",AK68 CHV,HYBRID,03/10/2018,4,NO,NO,,21
157782,"PRIVATE
HIRE",15/12/2023,14/06/2024,4172,"TOYOTA PRIUS PLUS
ICON TSS HEV CVT",LP19 RBO,HYBRID,24/05/2019,6,NO,NO,,21
157787,"PRIVATE
HIRE",23/10/2023,22/04/2024,4173,"HYUNDAI IONIQ
PREMIUM",MGZ 4320,HYBRID,16/02/2019,4,NO,NO,,21
157813,"PRIVATE
HIRE",05/04/2024,06/10/2024,4175,"HYUNDAI IONIQ SE
HEV",OE19 YAU,HYBRID,31/05/2019,4,NO,NO,,21
157849,"PRIVATE
HIRE",21/03/2024,06/10/2024,4176,"TOYOTA AURIS ICON
TECH",FM18 UOT,HYBRID,01/08/2018,4,NO,NO,,21
157871,"PRIVATE
HIRE",29/02/2024,24/09/2024,4177,MERCEDES BENZ,WP67 ULW,HYBRID,10/01/2018,4,NO,NO,,21
157873,"PRIVATE
HIRE",17/10/2023,23/04/2024,4179,HYUNDAI IONIQ SE,OE19 XKL,HYBRID,30/04/2019,4,NO,NO,,21
157945,"PRIVATE
HIRE",11/04/2024,14/10/2024,4180,TOYOTA AURIS ICON,FN18 NUC,HYBRID,01/03/2018,4,NO,NO,,21
157946,"PRIVATE
HIRE",10/04/2024,14/10/2024,4181,TOYOTA PRIUS ACTIVE,WR18 ERY,HYBRID,30/04/2018,4,NO,NO,,21
158015,"PRIVATE
HIRE",16/04/2024,18/10/2024,4182,"TOYOTA AURIS ICON
TECH",FM18 UNZ,HYBRID,01/08/2018,4,NO,NO,,21
158019,"PRIVATE
HIRE",19/10/2023,19/04/2024,4183,HYUNDAI IONIQ SE,OE19 YBM,HYBRID,31/05/2019,4,NO,NO,,21
158021,"PRIVATE
HIRE",03/10/2023,20/04/2024,4184,TOYOTA AURIS ICON,FN18 MWK,HYBRID,01/03/2018,4,NO,NO,,21
158161,"PRIVATE
HIRE",05/04/2024,24/10/2024,4189,RENAULT MASTER,MX18 EPO,DIESEL,16/03/2018,8,YES,YES,,21
158178,"PRIVATE
HIRE",20/11/2023,19/05/2024,4190,DACIA LOGAN,EU67 OPP,DIESEL,15/09/2017,4,NO,NO,,21
158257,"PRIVATE
HIRE",18/04/2024,09/11/2024,4191,"TOYOTA COROLLA
ICON",MK21 XYU,HYBRID,23/04/2021,4,NO,NO,,21
158296,"PRIVATE
HIRE",10/11/2023,10/05/2024,4192,HYUNDAI IONIQ,OV69 MHN,HYBRID,23/10/2019,4,NO,NO,,21
158277,"PRIVATE
HIRE",17/04/2024,09/11/2024,4193,TOYOTA AURIS ICON,FM18 UKH,HYBRID,20/07/2018,4,NO,NO,,21
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,22
158295,"PRIVATE
HIRE",04/01/2024,13/07/2024,4194,SKODA RAPID,GK19 LBF,PETROL,26/03/2019,4,NO,NO,,22
158330,"PRIVATE
HIRE",20/11/2023,19/05/2024,4195,TOYOTA AURIS,CV18 GGJ,PETROL,17/03/2018,4,NO,NO,,22
158388,"PRIVATE
HIRE",27/11/2023,26/05/2024,4199,TOYOTA AURIS,FM18 ULR,HYBRID,20/07/2018,4,NO,NO,,22
158389,"PRIVATE
HIRE",06/12/2023,05/06/2024,4200,"TOYOTA AURIS
HYBRID",FP18 EHW,HYBRID,21/06/2018,4,NO,NO,,22
158397,"PRIVATE
HIRE",15/11/2023,26/05/2024,4204,HYUNDAI IONIQ SE,RJ17 JYB,HYBRID,24/07/2017,4,NO,NO,,22
158512,"PRIVATE
HIRE",27/11/2023,26/05/2024,4206,"TOYOTA COROLLA
ICON",MW21 XST,HYBRID,20/05/2021,4,NO,NO,,22
158704,"PRIVATE
HIRE",11/12/2023,15/06/2024,4208,SKODA SUPERB,GK67 MLN,DIESEL,29/09/2017,4,NO,NO,YES,22
158740,"PRIVATE
HIRE",14/12/2023,13/06/2024,4210,TOYOTA AVENSIS,WA67 UMF,DIESEL,01/09/2017,4,NO,NO,,22
158481,"PRIVATE
HIRE",20/12/2023,19/06/2024,4211,HYUNDAI I800,BK18 RZG,HYBRID,05/04/2018,4,NO,NO,,22
158807,"PRIVATE
HIRE",11/12/2023,12/06/2024,4215,MG5 EV,DG70 VFR,ELECTRIC,15/10/2020,4,NO,NO,,22
158856,"PRIVATE
HIRE",12/12/2023,14/06/2024,4216,FORD MONDEO,FN17 ZZJ,DIESEL,21/08/2017,4,NO,NO,,22
158981,"PRIVATE
HIRE",16/01/2024,15/07/2024,4224,"TOYOTA COROLLA
ICON TECH",PF21 TSO,HYBRID,17/06/2021,4,NO,NO,,22
159126,"PRIVATE
HIRE",18/01/2024,17/07/2024,4226,PEUGEOT 308,MW17 XGY,DIESEL,14/07/2017,4,NO,NO,,22
159146,"PRIVATE
HIRE",05/01/2024,07/07/2024,4227,TOYOTA PRIUS,MK18 EPP,HYBRID,01/03/2018,4,NO,NO,,22
159151,"PRIVATE
HIRE",18/01/2024,17/07/2024,4228,VW GOLF,FL18 UHJ,DIESEL,29/03/2018,4,NO,NO,,22
159152,"PRIVATE
HIRE",25/01/2024,26/07/2024,4229,PEUGEOT 308,OE19 SWW,DIESEL,02/08/2019,4,NO,NO,,22
159307,"PRIVATE
HIRE",31/01/2024,30/07/2024,4231,"FORD TOURNEO
CUSTOM 320",MF70 NVB,DIESEL,01/09/2020,8,NO,NO,,22
159313,"PRIVATE
HIRE",18/01/2024,17/08/2024,4232,"SKODA OCTAVIA SE
FIRST EDITION",MW21 YOP,PETROL,24/05/2021,4,NO,NO,,22
159332,"PRIVATE
HIRE",19/01/2024,18/07/2024,4234,TOYOTA COROLLA,MD21 VYK,HYBRID,30/06/2021,4,NO,NO,,22
159471,"PRIVATE
HIRE",11/01/2024,14/07/2024,4236,TOYOTA AURIS,FM18 UNB,HYBRID,20/07/2018,4,NO,NO,,22
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,23
159502,"PRIVATE
HIRE",22/01/2024,21/07/2024,4237,TOYOTA AURIS,FM18 UOR,HYBRID,20/07/2018,4,NO,NO,,23
159504,"PRIVATE
HIRE",31/01/2024,30/07/2024,4238,TOYOTA AURIS,FM18 UUR,HYBRID,20/07/2018,4,NO,NO,,23
159532,"PRIVATE
HIRE",16/01/2024,18/07/2024,4239,"TOYOTA AURIS ICON
TECH HEV",EN67 YPT,HYBRID,25/01/2018,4,NO,NO,,23
159721,"PRIVATE
HIRE",19/02/2024,18/08/2024,4243,"TOYOTA AURIS ICON
TECH",FM67 FKS,HYBRID,02/02/2018,4,NO,NO,,23
159771,"PRIVATE
HIRE",26/01/2024,03/08/2024,4244,"TOYOTA AURIS ICON
TECH",FM18 UPV,HYBRID,20/07/2018,4,NO,NO,,23
159765,"PRIVATE
HIRE",15/02/2024,15/08/2024,4245,SKODA OCTAVIA,LT18 VZP,DIESEL,18/04/2018,4,NO,NO,,23
159986,"PRIVATE
HIRE",19/01/2024,08/08/2024,4249,PEUGEOT 2008,CY19 OFA,DIESEL,03/05/2019,4,NO,NO,,23
159992,"PRIVATE
HIRE",20/02/2024,19/08/2024,4250,"SKODA OCTAVIA SE
DRIVE",GJ70 TGV,DIESEL,11/09/2020,4,NO,NO,,23
160067,"PRIVATE
HIRE",01/03/2024,12/09/2024,4253,"TOYOTA PRIUS
BUSINESS",MA21 FLX,HYBRID,08/07/2021,4,NO,NO,,23
160138,"PRIVATE
HIRE",15/02/2024,14/08/2024,4256,PEUGEOT 308 ACTIVE,LK67 ZFA,DIESEL,05/09/2017,4,NO,NO,,23
160370,"PRIVATE
HIRE",16/02/2024,20/08/2024,4263,KIA CEED 2 ISG,NA67 UUE,DIESEL,27/11/2017,4,NO,NO,,23
160337,"PRIVATE
HIRE",15/01/2024,14/07/2024,4265,BMW 320D M SPORT,MM68 JZW,DIESEL,30/11/2018,4,NO,NO,,23
160696,"PRIVATE
HIRE",04/03/2024,03/09/2024,4271,"TOYOTA AURIS ICON
TECH",FN68 WYR,HYBRID,18/09/2018,4,NO,NO,,23
160625,"PRIVATE
HIRE",13/02/2024,03/09/2024,4272,"TOYOTA COROLLA
ICON TECH",MK21 XWO,HYBRID,19/08/2021,4,NO,NO,,23
160711,"PRIVATE
HIRE",08/03/2024,09/09/2024,4273,"TOYOTA AURIS ICON
TECH",FN68 XBU,HYBRID,18/09/2018,4,NO,NO,,23
160780,"PRIVATE
HIRE",07/03/2024,14/09/2024,4276,TOYOTA AURIS,EK68 LDV,HYBRID,23/10/2018,4,NO,NO,,23
161370,"PRIVATE
HIRE",17/04/2024,16/10/2024,4279,HYUNDAI IONIQ,EA68 UHG,HYBRID,28/09/2018,4,NO,NO,,23
160847,"PRIVATE
HIRE",17/04/2024,16/10/2024,4281,TOYOTA AURIS,FN68 XBY,HYBRID,18/09/2018,4,NO,NO,,23
160942,"PRIVATE
HIRE",28/03/2024,03/10/2024,4283,TOYOTA AURIS,FN68 XBD,HYBRID,18/09/2018,4,NO,NO,,23
160947,"PRIVATE
HIRE",04/04/2024,03/10/2024,4284,"TOYOTA AURIS ICON
TECH",FM18 VNW,HYBRID,20/07/2018,4,NO,NO,,23
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,24
160992,"PRIVATE
HIRE",25/03/2024,11/10/2024,4286,"TOYOTA PRIUS
HYBRID",LK18 HYC,HYBRID,01/04/2018,4,NO,NO,,24
161045,"PRIVATE
HIRE",31/10/2023,30/04/2024,4288,FORD FOCUS,EN67 ZNB,DIESEL,07/02/2018,4,NO,NO,,24
160697,"PRIVATE
HIRE",19/03/2024,21/09/2024,4290,SEAT TOLEDO SE,FE67 YNF,DIESEL,14/09/2017,4,NO,NO,,24
160970,"PRIVATE
HIRE",31/10/2023,30/04/2024,4291,"VW TOURAN SE
FAMILY",CK67 UGX,DIESEL,30/11/2017,6,NO,NO,,24
161365,"PRIVATE
HIRE",28/03/2024,09/10/2024,4293,HYUNDAI IONIQ,EN18 KVP,HYBRID,18/06/2018,4,NO,NO,,24
161439,"PRIVATE
HIRE",28/03/2024,11/10/2024,4294,PEUGEOT 308 ACTIVE,LN18 FKA,DIESEL,30/04/2018,4,NO,NO,,24
161378,"PRIVATE
HIRE",17/01/2024,16/07/2024,4295,"TOYOTA AURIS ICON
TECH HEV",FN68 XAY,HYBRID,16/09/2018,4,NO,NO,,24
161536,"PRIVATE
HIRE",06/10/2023,19/04/2024,4297,VAUXHALL ASTRA,LK18 YHL,DIESEL,28/03/2019,4,NO,NO,,24
161535,"PRIVATE
HIRE",26/10/2023,25/04/2024,4299,"HYUNDAI IONIQ FIRST
EDITION",DX69 YCW,HYBRID,25/11/2019,4,NO,NO,,24
161570,"PRIVATE
HIRE",27/10/2023,26/04/2024,4300,"TOYOTA VERSO
DESIGN",MJ67 XVT,DIESEL,24/11/2017,6,NO,NO,,24
161719,"PRIVATE
HIRE",20/11/2023,26/05/2024,4303,TOYOTA PRIUS,MK71 ZTD,HYBRID,28/09/2021,4,NO,NO,,24
161820,"PRIVATE
HIRE",17/04/2024,04/11/2024,4305,TOYOTA COROLLA,ML71 YUO,HYBRID,18/10/2021,4,NO,NO,,24
161885,"PRIVATE
HIRE",02/11/2023,01/05/2024,4307,TOYOTA AURIS ICON,BG18 FGA,HYBRID,30/03/2018,4,NO,NO,,24
161602,"PRIVATE
HIRE",14/12/2023,29/06/2024,4309,"MERCEDES BENZ V
220 D",KV20 VHM,DIESEL,17/03/2020,7,NO,NO,YES,24
161822,"PRIVATE
HIRE",13/12/2023,12/06/2024,4310,RENAULT MEGANE,MA67 EXJ,DIESEL,07/11/2017,4,NO,NO,,24
161808,"PRIVATE
HIRE",22/12/2023,21/06/2024,4311,FORD MONDEO,FL67 OUK,DIESEL,19/10/2017,4,NO,NO,,24
161925,"PRIVATE
HIRE",15/11/2023,06/06/2024,4312,"TOYOTA PRIUS LUS
ICON",MGZ 7281,HYBRID,29/03/2019,6,NO,NO,,24
